Property Name,Data Type,Description
endTimeBufferRoomBookingRoomLevel,INTEGER,Defines end time buffer for meeting room bookings at room level for the Buffer Time workflow in catering/IT request.
roomCheckinQrOnKiosk,BOOLEAN,Controls display of meeting room QR code on kiosk at room level.
releaseRoom,BOOLEAN,Not used
ReleaseRoom,BOOLEAN,Controls if release room functionality is enabled
enableCheckInReminderEmailForRoom,BOOLEAN,Enables check-in reminder emails for meeting rooms.
office_name,STRING,"The office label used to scope rooms and MR configs to that office. If it doesn't match the server office name, rooms/configs for that office will show as expected."
CATERING_ORDER_STATUS_LIST,JSON,"This property pertains to the catering feature within the Meeting Rooms module. It allows administrators to define the various statuses that can be assigned to catering orders on the catering dashboard. Recognizing that terminology may differ across organizations, this list is configurable to accommodate specific needs. The sequence of statuses specified here will directly reflect the order in which they appear on the catering dashboard."
Cost_Center_Catering,BOOLEAN,Catering workflow - Controls cost center field availability for catering requests workflow
timezone,STRING,Defines the timezone of that office
KIOSK_IMAGE_FOR_OFFICE,STRING,Controls whether a kiosk image is applied at the office level (instead of per-room / per-kiosk only).
enableCheckInReminderNotificationForRoom,BOOLEAN,Sends app notification reminder for meeting room check-in.
Cost_Center_Max_Len,INTEGER,Catering workflow - Defines maximum character limit for cost center input.
Cost_Center_Min_Len,INTEGER,Catering workflow - Defines minimum character limit for cost center input.
Meeting_Title_Catering_Order,BOOLEAN,Controls display of meeting title in the Catering Dashboard detailed view
room_name,STRING,Mapping of meeting room name via outlook sync
meetingRoomCheckInCutOff,INTEGER,Defines the cutoff for the visibility of the checkin button on the meeting rooms web and mobile view.
dynamicFieldUserEmails,LIST,Defines email recipients for dynamic field notifications.
IS_WIS_CALENDAR,BOOLEAN,Indicates whether the BUID has Native Meeting Room setup enabled.
OUTLOOK_WO_ADMIN_CONSENT,BOOLEAN,This controls the room email id field in the room details section of Meeting Rooms Settings page. This is needed for an integrated setup.
BLOCK_CALENDAR_FOR_X_MINS,INTEGER,"Controls how long the room's calendar is blocked around a meeting, in minutes."
BULK_UPLOAD_HEADERS,LIST,"Defines the column headers for meeting room bulk upload, this cannot be changed. Do not alter this."
cateringLimits,LIST,Defines cut-off times for modifying or cancelling catering orders based on participant count.
INVITE_VISITOR_FROM_ROOMS,BOOLEAN,Enabled the Meeting and Visitor booking workflow from meeting booking from on web and mobile.
dynamicFieldLabel,JSON,Customizes the label text for the meeting request section on meeting booking form.
dynamicFieldsConfigForRooms,LIST,This controls the dynamic fields aka custom fields for the catering workflow where we can define different types of fields - their header and the type of input values. You can find the output of this dynamic field configuration under Delivery instructions of the catering workflow on both the web and Outlook Add-In
iadeaLightsBrightness,JSON,This property controls colour and brightness of led lights of IADEA Device for Meeting Rooms Kiosk
textOnKiosk,BOOLEAN,Controls additional text visibility on the Meeting Rooms Kiosk screen
textMessageForKiosk,JSON,Defines text displayed on the kiosk.
recurringBookings,BOOLEAN,Enables recurring booking flow for meeting rooms for both integrated and native.
CheckOutCTARooms,BOOLEAN,Controls the visibility of the checkout button against room bookings. Not dependent on checkin button.
Show_Room_If_Not_Eligible,BOOLEAN,Controls visibility of ineligible rooms.
Room_Special_Request_Enable,BOOLEAN,Controls visibility of the Meeting Request section in the meeting booking form - on web view.
RoomBookingEmailEnabled,BOOLEAN,Controls the emails sent to additional recipients
sendRoomBookingEmailToAllParticipants,BOOLEAN,Controls whether booking emails are sent to all participants.
organiserBookingEmailsMeetingRooms,BOOLEAN,Controls whether the organizer receives booking emails.
roomBookingsEmailList,LIST,Defines additional recipients for meeting room booking emails.
room_cancel_cutoff,INTEGER,Defines cancellation cut-off time in minutes for meeting room bookings.
releaseRoomEmailList,LIST,"Additional email recipients for release room notifications, other than organiser of the meeting which was released"
Room_Kiosk_With_Cisco,BOOLEAN,Meeting Rooms Kiosk workflow - Enables Cisco-related fields in the Meeting Rooms settings page under the Kiosk column
noAutoCheckinKiosk,BOOLEAN,"When Checkin is hidden, the kiosk auto-checks into the booking. This controls that auto check-in behavior on Meeting Rooms Kiosk."
colorVCStatsIconsKiosk,STRING,Meeting Rooms Kiosk - Defines the color for the VC stats displayed on the kiosk screen.
facilityMailList,STRING,For IT request workflow to control who receives the IT request emails.
IT_REQUEST_OUTLOOK_ADDIN,BOOLEAN,Enables IT request functionality within the WorkInSync Outlook Add-in.
defaultMaxDurationForBypass,INTEGER,Defines the threshold for the maximum duration bypass privilege.
defaultAdvanceBookingLimitForBypass,INTEGER,Defines the threshold for the Advance Booking Limit bypass privilege.
