Unique Configs Across All WIS Services (Case-Sensitive),,,
Total unique: 642   |   Appearing in >1 service: 36   |   Total entries before dedup: 679   |   Matching: case-sensitive,,,
,,,
Property Name,Description,Service(s),Service Count
allowEmployeeToBooKAnySeatInBL,Allows employees to book seats within permitted hierarchy levels in BL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowPastAllocationTimesForCurrentDayFor,Allows admins to allocate desks/slots/rooms for past shift times on the same day.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowPeerOrMarshalReporting,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowQrCheckInWithoutSeat,Allows QR check-in without seat.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowRoomBookingWithOfficeBooking,Controls visibility of Room booking option on Employee Home.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
amenitiesBulkUpload,Enables bulk upload flow for amenities.,WIS-SEAT-BOOKING,1
APPROVAL_POST_NO_SHOW_CHECK_BUFFER,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
approvalFlowEmailExpiryTimeInMinutes,Defines approval email expiry time in minutes.,Visitor Management Service,1
approvalFlowEnabled,"[Booking Rule Engine] Seat or WFH bookings go into a ""Pending"" status and require manager/admin approval.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Enables Team Manager approval dashboard.",Booking Rule Engine; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
approvalFlowInInWfhEnabled,Controls whether the approval workflow is enabled for Work From Home bookings.,WIS-SEAT-BOOKING,1
approvalFlowInWfoEnabled,Controls whether the approval workflow is enabled for Work From Office bookings.,WIS-SEAT-BOOKING,1
approvalWebViewUrl,Defines approval web view URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
approvedRequestNotificationEnabled,Controls whether notifications are sent for approved booking approval requests.,WIS-SEAT-BOOKING,1
approveEntryFromFrontdesk,Allows visitor approval or rejection from Front Desk.,Visitor Management Service,1
approveMsTeamsTemplate,Defines MS Teams template for approval notifications.,Visitor Management Service,1
AUDIT_HISTORY,Enable Audit history on Sidenav.,PROJECT-MANAGEMENT-SERVICES,1
autoAbsentHours,"Marks an employee as a ""No Show"" if they fail to check in within this many hours of their shift start.",Booking Rule Engine,1
autoAllocate,"[Booking Rule Engine] The system automatically assigns a desk to an employee based on their team zone if they don't pick one manually.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Enables automatic desk allocation during bulk booking upload.",Booking Rule Engine; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
autoApproveEnabled,"Bypasses the manual approval flow, instantly confirming user requests.",Booking Rule Engine,1
autoClockOutRemainder,Sends reminder notification before auto-checkout triggers.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
autoClockOutRemainderMinutes,Defines minutes before logout when reminder notification is triggered.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
autoExpireHour,Defines at what period hour your booking request expires.,WIS-SEAT-BOOKING,1
autoLogoutEnabled,Enables automatic sign-out after configured duration.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
autoLogoutMinutes,"[Booking Rule Engine] Automatically checks the employee out of their desk X minutes after their scheduled shift ends.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Defines minutes after planned checkout for auto-checkout trigger.",Booking Rule Engine; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
autoPopulateBookingForm,Auto-populates booking form using preferences or past data.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
autoProvisionEnabled,"[EMP_EXP_INTERNAL_CONFIGURATION] To enable Auto registration process.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Automatically marks all employees as onboarded during bulk onboarding.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
autoRequestApprovalEnabled,Controls whether booking requests are automatically approved without manual intervention.,WIS-SEAT-BOOKING,1
autoSeatCheckOutEnabled,Enables auto seat checkout.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
autoSeatCheckOutMinutes,Defines auto seat checkout duration.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
autoSlotAllocate,Automatically allocates parking slots without manual slot selection.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
autoTagAssignmentMapping,Automatically assigns tags based on employee designation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
averageOverallTripFeedbackCalculation,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
bannerEndTime,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
bannerNativeRoomEmail,Controls native banner visibility in room emails.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
bannerNewRoomBookingEmpHome,Defines banner text for New Room booking page.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
bannerStartTime,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
beginHour,"This configuration defines the start time of the bookable time in the meeting room timeline - room level configuration. Integer value, 0-24.",MEETING ROOMS,1
BLOCK_CALENDAR_FOR_X_MINS,"Controls how long the room's calendar is blocked around a meeting, in minutes.",MEETING ROOMS,1
blockDelegationEmail,Blocks delegation email notifications.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
blockGenerateDigiPassOnSeatMandatory,Blocks DigiPass generation when seat is mandatory.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
blockNumber,Controls Block number field visibility.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
blockOfficeCheckingIfNoBooking,Blocks office check-in without booking.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
blockUserIfNotVaccinated,"[Booking Rule Engine] A health-safety compliance rule that prevents booking if the user's profile lacks vaccination approval.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Blocks non-vaccinated users from making bookings when enabled.",Booking Rule Engine; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
BOOKING_APPROVAL,Enables the Booking Approval page.,PROJECT-MANAGEMENT-SERVICES,1
BOOKING_HISTORY,"[PROJECT-MANAGEMENT-SERVICES] Enables the Booking History option.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Enables booking history option on web.",PROJECT-MANAGEMENT-SERVICES; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
BOOKING_UPLOAD_ENABLED,Enables Booking bulk upload option.,PROJECT-MANAGEMENT-SERVICES,1
bookingApprovalEmailsEnabled,Controls whether email notifications are sent for booking approvals.,WIS-SEAT-BOOKING,1
bookingCancellationReasons,Defines cancellation reason list.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
bookingConversionCutOff,Defines cutoff time for WFH to WFO and vice versa conversion.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
bookingEnabledOnTag,"[EMP_EXP_INTERNAL_CONFIGURATION] This property that controls whether booking is allowed based on a tag. eg: ""Even if this day is a weekly off, allow booking for employees/resources that carry a specific tag.""

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Enables booking based on tags.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
bookingRequestApprovalFlowEnabled,"[WIS-SEAT-BOOKING] Controls whether the booking request approval workflow is enabled.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Enables booking approval workflow.",WIS-SEAT-BOOKING; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
bookingRuleEngine,Defines Booking Rule Engine URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
bookingsTypesForCheckinReminder,Defines booking types eligible for check-in reminder.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
bufferTimeInSecondsOfAarogyaSetuUser,This property controls the buffer time in seconds applied to Aarogya Setu user validation (covid feature).,EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
buidsEnabledForSeatBookingPMS,Defines service availability on PMS.,WIS-SEAT-BOOKING,1
BUILDING_PREMISE_NAME,"On stratus sites, it controls the name of the entity on outlook.",MEETING ROOMS,1
BULK_OPERATION_VISITOR_BOOKING,Enables bulk upload of visitor lists on the Invite Visitor page.,PROJECT-MANAGEMENT-SERVICES,1
BULK_UPLOAD_ENABLED,Enables the room bulk upload option in the Meeting Rooms Settings page.,MEETING ROOMS,1
BULK_UPLOAD_HEADERS,"Defines the column headers for meeting room bulk upload, this cannot be changed. Do not alter this.",MEETING ROOMS,1
bulkScheduleAllowedDaysForRoom,Defines bulk room scheduling window.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
CAB_ARRIVAL_MESSAGE_FOR_NOTIFICATION,The push notification text sent to an employee when their cab reaches the pickup point (includes driver wait time).,EMAIL_EMPLOYEE_EXPERIENCE,1
CAB_ARRIVAL_TITLE_FOR_NOTIFICATION,The title/header for the cab arrival push notification.,EMAIL_EMPLOYEE_EXPERIENCE,1
cabArrivalIVR,(Inferred) JSON configuration for triggering automated IVR (Interactive Voice Response) phone calls to employees when their cab arrives.,EMP_EXP_INTERNAL_CONFIGURATION,1
cacheTimeInHoursOfAarogyaSetuUserStatus,"[EMP_EXP_INTERNAL_CONFIGURATION] This property controls the cache duration in hours for Aarogya Setu user status (covid feature).

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Defines Aarogya Setu status cache duration.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
CANCEL_EVENT_PIN_VERIFICATION_ENABLE,Enables secure cancellation or ending of meetings via meeting room kiosk using OTP verification.,MEETING ROOMS,1
CANCELLATION_REMINDER_NOTIFICATION,Enables cancellation reminder notifications.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
cancelSchedulesEnabled,Defines whether it should allow cancellation of commute service.,WIS-SEAT-BOOKING,1
cancelTransportBooking,Allows transport booking cancellation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
captureEmployeeBookingStats,Enables booking statistics capture.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
cardSyncDefaultMinutes,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
CATERING_AUDIT_HISTORY,Enables audit history for Catering Orders.,PROJECT-MANAGEMENT-SERVICES,1
CATERING_DASHBOARD,Enables the Catering Dashboard in the sidenav.,PROJECT-MANAGEMENT-SERVICES,1
CATERING_ORDER_STATUS_LIST,This property pertains to the catering feature within the Meeting Rooms module. It allows administrators to define the various statuses that can be assigned to catering orders on the catering dashboard.,MEETING ROOMS,1
checkinBufferFromKiosk,Defines buffer time (in minutes) for active booking check-in via kiosk.,Visitor Management Service,1
checkinReminderCutoffInMinute,Defines when check-in reminder notification is sent.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
checkInWithoutAarogyasetuValidation,Allows check-in without Aarogya Setu validation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
checkoutPageRedirectionTimeout,Defines redirection timeout (in minutes) after self check-in completion.,Visitor Management Service,1
CITY_DISTRICT_MAPPINGS,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
commentsMandatoryOnRating,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
COMMUNICATION_CONSOLE_ENABLED,Enables the Broadcast feature.,PROJECT-MANAGEMENT-SERVICES,1
commuteMandatory,Requires users to select either parking or transport while creating an office booking to prevent resource-less bookings.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
configuration.registration.dashboard,Controls whether the employee self-registration experience is exposed via the dashboard for a given site/BUID.,PROJECT-MANAGEMENT-SERVICES,1
CONFIGURATIONS_ENABLED,Enables the Configurations page under Settings.,PROJECT-MANAGEMENT-SERVICES,1
configureVisitorKiosk,Controls visibility of Configure Visitor Kiosk button on Front Desk.,Visitor Management Service,1
confirmationMessageForLogoutTracking,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
CONSENT_TYPE,Defines consent type configuration at admin or user level.,MEETING ROOMS,1
consentPopupData,Defines consent popup configuration.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
contactTHDReasons,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
controlSearchSections,Controls visibility of sections in Front Desk search dropdown.,Visitor Management Service,1
Cost_Center_Catering,Catering workflow - Controls cost center field availability for catering requests workflow.,MEETING ROOMS,1
Cost_Center_Max_Len,Catering workflow - Defines maximum character limit for cost center input.,MEETING ROOMS,1
Cost_Center_Min_Len,Catering workflow - Defines minimum character limit for cost center input.,MEETING ROOMS,1
countBookingBySomeOneElseAsEmployeeBooking,"If a manager or SPOC books a seat on behalf of an employee, it counts towards that employee's daily/weekly quota limits.",Booking Rule Engine,1
Create_Meeting_Room,Controls visibility of the Create Room button in the Meeting Rooms settings page.,MEETING ROOMS,1
CREATE_PREMISE_IF_IT_DOESNT_EXIST,"Allows the system in creation of premise, if premise does not exist.",MEETING ROOMS,1
creatorNotifications,Controls creator notifications (backend property).,Visitor Management Service,1
CutOffTimeBetweenBookingsOnSeatInMinute,Defines minimum gap between consecutive bookings on the same seat.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
cutoffTimeBetweenWISAppFeedback,Defines minimum time gap between feedback prompts.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
cutoffTimeForSkipWISAppFeedback,"[EMP_EXP_INTERNAL_CONFIGURATION] If set to 720 (hours ~ 30 days), the internal app feedback will appear once in 30 days (720 hours) after every booking creation.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Defines interval in hours for app feedback display frequency.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
dashboard,Enables the Dashboard option under Team Manager Dashboard.,PROJECT-MANAGEMENT-SERVICES,1
DASHBOARD_ENABLED,Enables the Home Dashboard.,PROJECT-MANAGEMENT-SERVICES,1
DATE_FORMAT,Defines date format for UI.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
DATE_FORMAT_SERVICES,Defines date format for backend services.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
DEACTIVATION_TYPE,Control the action of deactivation of meeting room.,MEETING ROOMS,1
defaultInviteTitle,Defines default title for Invite Form.,Visitor Management Service,1
defaultKioskBookingDurationInMinutes,Defines fixed visit duration for each visitor check-in.,Visitor Management Service,1
defaultLogoutShiftMinutes,Auto-populates checkout time based on configured duration after check-in selection.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
defaultVisitTypeSelection,Controls default selection behavior for Type of Visit field.,Visitor Management Service,1
delegation,Enables the Delegation feature in the sidenav.,PROJECT-MANAGEMENT-SERVICES,1
delegatorDelegateeEmailsEnabled,Sends email notification to delegator.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
DESK_AUDIT,Enables Desk Audit section.,PROJECT-MANAGEMENT-SERVICES,1
DESK_TAGGING_ENABLED,Enables the Desk Tagging feature.,PROJECT-MANAGEMENT-SERVICES,1
deskTagHeaders,Headers for desk tag.,WIS-SEAT-BOOKING,1
digipass,Controls DigiPass visibility across email and badge channels.,Visitor Management Service,1
directCheckinEndCutOffInMinute,Defines end cutoff for direct check-in.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
directCheckinExpiryInMinute,Defines expiry time for direct check-in.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
directCheckinStartCutOffInMinute,Defines start cutoff for direct check-in.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
DIRECTION,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
disableWfhWfoOverlapping,Prevents an employee from booking both a Work From Home day and a Work From Office desk on the exact same date.,Booking Rule Engine,1
districts,(Inferred) Defines the list of approved districts/regions mapped to the office for transport routing and hiring boundaries.,EMP_EXP_INTERNAL_CONFIGURATION,1
dynamicData / DynamicData,"Defines configurable dynamic fields displayed in the booking form (e.g., Waiter needed, Reimbursement, Allergies, Commute method).",WIS-SEAT-BOOKING,1
dynamicFieldLabel,Customizes the label text for the meeting request section on meeting booking form.,MEETING ROOMS,1
dynamicFieldOnRooms,Displays dynamic fields during meeting room creation - i.e Meeting Rooms request section.,MEETING ROOMS,1
dynamicFieldsConfigForRooms,This controls the dynamic fields aka custom fields for the catering workflow where we can define different types of fields - their header and the type of input values.,MEETING ROOMS,1
dynamicFieldUserEmails,Defines email recipients for dynamic field notifications.,MEETING ROOMS,1
email,Controls whether the Email field is shown or hidden during employee profile validation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
empExp,Defines primary Employee Experience URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
empExpUi,Defines Employee Experience UI URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
empexpUI,Defines Employee Experience interface URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
empID,Controls whether the Employee ID field is shown or hidden during employee profile validation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
EMPLOYEE,Configures WIS Employee role access.,PROJECT-MANAGEMENT-SERVICES,1
employee,Configures ETS Employee role access.,PROJECT-MANAGEMENT-SERVICES,1
EMPLOYEE_CHECKIN,Enables the My Bookings page in the sidenav.,PROJECT-MANAGEMENT-SERVICES,1
EMPLOYEE_PROFILE_AUDIT,Enables Employee Profile audit history under Audit History section on sidenav.,PROJECT-MANAGEMENT-SERVICES,1
EMPLOYEE_TAGGING_ENABLED,Enables the Employee Tagging feature.,PROJECT-MANAGEMENT-SERVICES,1
EMPLOYEE_WEB_EXPERIENCE,Enables the Employee Home page for specified roles.,PROJECT-MANAGEMENT-SERVICES,1
employeeCancelCutOff,The deadline (in hours/mins) before a shift starts where an employee can no longer cancel their booking.,Booking Rule Engine,1
employeeFloorPlanUrl,Defines Employee Floor Plan URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
employeePIIMasking,Configures selective masking of PII fields and visual security settings.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
EMPLOYEES_ENABLED,Enables the People > Employees page.,PROJECT-MANAGEMENT-SERVICES,1
employeeStatusModuleEnabled,"If this property is set true, it starts using configuration under employeeStatusList.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
employeeTagHeaders,Headers for employee tag.,WIS-SEAT-BOOKING,1
ENABLE_AUTO_MEETING_ROOM_SYNC,Automatically runs meeting room sync when enabled.,MEETING ROOMS,1
ENABLE_CHECKIN_NOTIFICATION,Master switch to enable check-in notifications.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
ENABLE_HELP_SECTION,Enables the Help section in the sidenav.,PROJECT-MANAGEMENT-SERVICES,1
ENABLE_HIERARCHY_PAGE,Enables the People > Hierarchy page in the sidenav.,PROJECT-MANAGEMENT-SERVICES,1
ENABLE_MEETING_CATERING,"Catering workflow - Enables catering functionality in meeting rooms, to see the Catering Request option in room booking form.",MEETING ROOMS,1
ENABLE_MIS,Enables the switch to ETS option in the sidenav for a specific role.,PROJECT-MANAGEMENT-SERVICES,1
ENABLE_TAG_MANAGEMENT,Activates self-service Tag Management module on sidenav.,PROJECT-MANAGEMENT-SERVICES,1
ENABLE_WIS,Enables the WorkInSync button in the Transport Dashboard.,PROJECT-MANAGEMENT-SERVICES,1
ENABLE_WITH_PRINCIPAL_NAME,Uses email prefix as visitor name when name is unavailable.,MEETING ROOMS,1
enableAutoAbsentNotification,Sends notification when a booking results in no-show.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableBookingCancellationReasonsFor,Requires cancellation reason for specified booking types.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableBookingEmail,Enables booking details email notification.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableBookingsOnHolidays,Allows employees to book desks on dates designated as official company holidays.,Booking Rule Engine,1
enableCalendarInvite,Creates calendar event in host email upon invite creation.,Visitor Management Service,1
enableCarbonFootprintTrackingInParking,Tracks and displays carbon footprint for employee commutes.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableCheckInReminderEmailForRoom,Enables check-in reminder emails for meeting rooms.,MEETING ROOMS,1
enableCheckInReminderNotificationForRoom,Sends app notification reminder for meeting room check-in.,MEETING ROOMS,1
enableColorInParkingVehicleCreation,Adds vehicle color input field in parking vehicle creation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enabledBuidForVisitorConfigs,Enables visitor notification page.,Visitor Management Service,1
enabledCheckInEmailBodyParam,Defines enabled parameters in check-in email body.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enabledCheckInEmailBodyParamNames,Defines parameter names in check-in email body.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableDelegationForAdmins,Allows admins to manage delegation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableDynamicFields,Enables configurable dynamic fields per BU.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableEmployeePreferences,Enables employee preference settings on web.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableEmployeeRFIDColumn,Enables RFID number field and prevents duplicates.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableFloorPlanAccessibility,Enables accessibility features for visually impaired users.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableGeofenceCheckFor,Enables GPS/geofence validation for specified workflows.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableGeofenceCheckForCheckin,"[EMP_EXP_INTERNAL_CONFIGURATION] This controls check-in from defined geo fence limit from office.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Enforces check-in validation within defined geofence limits.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
enableGridFloorPlan,Enables grid-based parking floor plan.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableJoinAllWaitlist,Allows joining waitlists across all parking levels.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableMealBookingNudge,(Official Tooltip) To enable meal nudge flow for meal booking.,Booking Rule Engine,1
enableMealCartView,Activates meal cart and payment flow when enabled with showMealPaymentCTA.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableMealImageIn,To show meal image in meal item,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
EnableMRMailCancel,Sends mail over email when meeting room cancellation is triggered via kiosk to the organiser.,MEETING ROOMS,1
EnableMROTPCancel,Controls OTP verification over email when meeting room cancellation is triggered via kiosk to the organiser.,MEETING ROOMS,1
enableMultiAllocation,Controls desk multi-allocation functionality and displays the Multi-allocated Desk legend entry on floor plans when value includes 'DESK',EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableNewAdminDashboard,Enables Admin Dashboard 2.0.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableNewAllocationFlow,Enables new allocation flow required for time-based allocation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
EnableNewEmailTemplate,Enables new email template format.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableOTPValidationSelfCheckinList,Enables OTP validation in kiosk self check-in flow.,Visitor Management Service,1
enableParkingCheckOutWithOfficeCheckOut,Controls whether parking checkout is automatically performed along with office checkout.,GUARD-APP,1
enablePerpetualDigipassForAllUsers,Allows DigiPass generation without office booking.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enablePrintBadgeForInviteFlow,Enables badge printing for visitors via Invite flow.,Visitor Management Service,1
enableProjectCodeFor,Enables Project Code field for specified booking types.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableProjectColor,Enables enhanced seat and team color legends on floor plan.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableQRBasedRemoteSignin,Enables QR-based remote sign-in.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableQrCodeForSeatManagement,Enables QR based validation for check in.,GUARD-APP,1
enableQrCodeForSeatSanitize,Enables or disables QR code scanning for seat sanitization.,GUARD-APP,1
enableSafeReachForBookingTypes,Defines booking types eligible for Safe Reach.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableSafeReachWisList,Defines environments where Safe Reach is enabled.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableTimeBasedDeskAllocation,Enables time-based desk allocation and disables List View.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableTimezoneWithOfficeName,"[EMP_EXP_INTERNAL_CONFIGURATION] This property controls whether the office name is displayed along with its timezone.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Displays timezone with office name.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
enableTransportBookingBulkUpload,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
