mobilityHealthStatus,Displays driver vaccination details on the Tracking page.,,,,,,
showSeparateDigipassForParking,Displays separate digipass for parking resources in the mobile app.,,,,,,
showOtpWithoutDigipassGeneration,Displays cab login/logout OTPs directly on the booking card.,,,,,,
bookingConversionCutOff,Defines cutoff time for WFH to WFO and vice versa conversion.,,,,,,
enableAutoAbsentNotification,Sends notification when a booking results in no-show.,,,,,,
Premise_Floorplan_Legend_Collapsed,Collapses the legend by default on the Premises floor plan view.,,,,
isPhoneValidationOptional,Controls whether phone number is optional or mandatory during employee registration.,,,,,,
isDynamicFieldsMandatory,Makes dynamic fields mandatory.,,,,,,
igonreErrorOfArrogyaSetu,Ignores Aarogya Setu app status check errors.,,,,
showVaccinationOptionInSideMenu,Enables Vaccination status option in the app side menu.,,,,,,
allowBookingConversionFromWfoToWfh,Enables direct WFO to WFH booking conversion.,,,,,,
allowBookingConversionFromWfhToWfo,Enables direct WFH to WFO booking conversion.,,,,,,
ENABLE_INDOOR_NAVIGATION,Enables wayfinding/navigation to desks,,,,,,
approvalFlowEnabled,Enables Team Manager approval dashboard.,,,,,,
teamCalendarEnabled,Enables Team Calendar feature.,,,,,,
showQRScanner,Enables Scan QR option in the app.,,,,,,
parkingEnabled,Enables parking option in the booking form.,,,,,,
isCheckinNotificationEnabled,Enables notification after successful check-in.,,,,,,
multipleBookingsOnASeatInADayAllowed,Allows multiple bookings on the same seat within a single day.,,,,,,
enableGridFloorPlan,Enables grid-based parking floor plan.,"Enables Grid-based parking layout.

Configuration:
- enableGridFloorPlan=true  & autoSlotAllocate=false → Grid-based parking
- enableGridFloorPlan=false & autoSlotAllocate=true  → Auto Slot Allocation

Note: Must be configured along with autoSlotAllocate to determine parking mode.",,,
showRegistrationNumberInputFieldForParking,Displays vehicle registration number input field during parking booking.,,,,,,
showSignedinStateOnEmployeeFloorPlan,Displays signed-in desk state (green indicator) on Employee Floor Plan.,,,,
ENABLE_CHECKIN_NOTIFICATION,Master switch to enable check-in notifications.,,,,
isCalendarInviteEnabled,Enables calendar invite option.,,,,,,
BOOKING_HISTORY,Enables booking history option on web.,,,,,,
isAutoAbsentEnabled,Enables auto-absent feature and automatic seat release if check-in does not occur within cutoff.,,,,,,
isAppFeedbackEnabled,Enables app feedback feature.,,,,,,
isAmenitiesFilter,Enables amenities filter in desk booking.,,,,,,
mealFeedbackOptions,Configures meal feedback options.,,,,
mealCutoffInMinutes,Defines meal booking cutoff calculated from 00:00 of booked date.,,,,
wfhDisabled,Controls whether WFH booking is enabled or disabled.,,,,,,
allowEmployeeToBooKAnySeatInBL,Allows employees to book seats within permitted hierarchy levels in BL.,,,,,,
enableDelegationForAdmins,Allows admins to manage delegation.,,,,
autoLogoutMinutes,Defines minutes after planned checkout for auto-checkout trigger.,,,,,,
WisThemeColors,Defines theme colors for WorkInSync modules.,,,,,,
enableGeofenceCheckForCheckin,Enforces check-in validation within defined geofence limits.,,,,
defaultLogoutShiftMinutes,Auto-populates checkout time based on configured duration after check-in selection.,,,,,,
showTeamOnKioskForEmployee,Displays team name instead of employee ID in kiosk organizer dropdown.,,,,,,
wayfindingPathColor,Controls arrow color customization in wayfinding path.,,,,,,
enableMealDayWiseAvailability,Allows admin to configure meal availability per day.,,,,,,
qRScannerStartCutOffInMinute,Defines minutes before booking start when Scan QR becomes active.,,,,,,
qRScannerEndCutOffInMinute,Defines minutes after booking start when Scan QR becomes inactive.,,,,
generateGatepassAdvanceCutOff,Defines minutes before booking start when DigiPass generation becomes active.,,,,
generateGatepassDelayCutOff,Defines minutes after booking start when DigiPass generation is allowed.,,,,,,
selfCommuteWithdrawalEmailSubject,Defines subject for opt-in/opt-out withdrawal email.,,,,
selfCommuteSubmissionEmailSubject,Defines subject for opt-in/opt-out submission email.,,,,
userResourceGroupMappingEnabled,Indicates whether resource group mapping is enabled for office visibility.,,,,
showWomenSafetyInSideMenu,Displays Women Safety Handbook in mobile side menu.,,,,,,
showTeamCalendarOption,Displays Team Calendar option in the app.,,,,
showMealCountOnBookingForm,Displays real-time meal availability count on booking form.,,,,,,
showOfficeInfoOnBookingForm,Displays searchable office address list during booking.,,,,,,
isGDPRCookiePolicyEnabled,Displays GDPR compliance pop-up in mobile app.,,,,,,
Floorplan_Legend_Employee_Web_Expanded,Controls expanded or collapsed legend state on employee web floor plan.,,,,,,
showSanitizationDetails,Displays sanitization details in the app.,,,,,,
blockUserIfNotVaccinated,Blocks non-vaccinated users from making bookings when enabled.,,,,,,
bannerNewRoomBookingEmpHome,Defines banner text for New Room booking page.,,,,
autoClockOutRemainder,Sends reminder notification before auto-checkout triggers.,,,,,,
delegatorDelegateeEmailsEnabled,Sends email notification to delegator.,,,,,,
showOrderOfChallengesAfterQRScan,Displays declaration after QR scan.,,,,,,
restrictMealScanToOne,Restricts meal QR scanning to once per meal window.,,,,,,
IPBasedCheckinEnabled,Restricts web check-in based on IP address.,,,,,,
vaccinationMaxApprovalDays,Defines maximum days allowed for vaccination request approval.,,,,
isShuttleRequired,Replaces cab labels and icons with shuttle terminology across modules.,,,,,,
qRScannerExpiry,Defines expiry time of QR scanner after booking start.,,,,
industryStandard,Controls industry standard values on Admin Dashboard metric cards.,,,,,,
enableTeamAsResource,Creates resource entry for newly created teams.,,,,,,
empHomepageTodaysAvailabilityCard,Displays full availability card on Employee Home based on enabled modules.,,,,
nextDayLogoutEnabled,Controls visibility of next-day logout shifts in booking form.,,,,,,
employeePIIMasking,Configures selective masking of PII fields and visual security settings.,,,,
enableMealCartView,Activates meal cart and payment flow when enabled with showMealPaymentCTA.,,,,
mobileNumberLength,Defines required mobile number length.,,,,,,
isDelegationEnabled,Master switch enabling Delegation feature.,,,,,,
enableBookingCancellationReasonsFor,Requires cancellation reason for specified booking types.,,,,,,
parkingBookingMandatory,Makes parking booking mandatory for office booking.,,,,,,
nativeRoomEmail,Displays room email ID input in new room workflow.,,,,,,
projectCodeMandatoryFor,Makes Project Code field mandatory for specified booking types.,,,,,,
mealPlanningMandatory,Makes meal selection mandatory in office booking form.,,,,,,
vehicleCreationDuringParkingFor,Controls vehicle creation by type (CAR,,,,
parkingStartCutOffInMinute,Defines minutes before booking start when parking QR can be generated.,,,,
parkingEndCutOffInMinute,Defines minutes after booking start when parking QR can be generated.,,,,,,
cutoffTimeForSkipWISAppFeedback,Defines interval in hours for app feedback display frequency.,,,,,,
cutoffTimeBetweenWISAppFeedback,Defines minimum time gap between feedback prompts.,,,,,,
empHomeWidgetMeetingRoomCheckInCutOff,Defines check-in cutoff for meeting room check-in from Employee Home widget.,,,,,,
reAuthenticationModePhone,Defines phone-based two-step authentication mode.,,,,,,
reAuthenticationModeEmail,Defines email-based two-step authentication mode.,,,,
enforceReAuthenticationDurationInMinutes,Defines re-authentication validity duration in minutes.,,,,
enforceReAuthentication,Enables enforcement of re-authentication.,,,,,,
vaccinationBookingEnabled,Enables vaccination slot booking feature in the app.,,,,,,
enableTimeBasedDeskAllocation,Enables time-based desk allocation and disables List View.,,,,
isZedaReleaseNoteEnabled,Displays Zeda widget showcasing new features and feedback.,,,,
visitorWidgetEnabled,Displays visitor management widget on Employee Home.,,,,,,
enableEmployeeRFIDColumn,Enables RFID number field and prevents duplicates.,,,,,,
enableProjectCodeFor,Enables Project Code field for specified booking types.,,,,,,
enableNewAllocationFlow,Enables new allocation flow required for time-based allocation.,,,,,,
showMealPaymentCTA,Enables meal payment CTA integrated with payment gateways.,,,,,,
enableEmployeePreferences,Enables employee preference settings on web.,,,,
enableTeamCalendarRMView,Enables hierarchy filter on Team Calendar.,,,,,,
remoteSignInAllowed,Enables remote sign-in using Scan QR.,,,,,,
seatScanEnable,Enables seat QR scanning on booking page.,,,,
rbacDeskAllocationEnabled,Enables RBAC-based desk allocation.,,,,,,
showQRScannerMeetingCheckIn,Enables QR-based meeting room check-in.,,,,,,
mealFeedbackEnabled,Enables meal feedback feature and reporting.,,,,,,
mealPlanningEnabled,Enables meal booking via Work Planner.,,,,,,
enableGeofenceCheckFor,Enables GPS/geofence validation for specified workflows.,,,,
floorPlanViewMeetingRoomsWeb,Enables floor plan view for meeting rooms on web.,,,,,,
isBuNudgeNotifEnabled,Enables weekly nudge notifications for users without bookings.,,,,,,
enableWisThemeColors,Enables dynamic theming using wisThemeColors property.,,,,,,
showSeatSearchOnSeatBooking,Enables desk search by desk number.,,,,,,
showEmployeeSearchOnSeatBooking,Enables colleague search by name.,,,,,,
enableCarbonFootprintTrackingInParking,Tracks and displays carbon footprint for employee commutes.,,,,,,
autoLogoutEnabled,Enables automatic sign-out after configured duration.,"Part of: Auto Check-Out feature (WFO & WFH).

Enables automatic sign-out after the configured duration.

Related configuration:
- autoLogoutMinutes
- autoClockOutRemainder
- autoClockOutRemainderMinutes
- listOfEligibleBuidsForAutoClockout",,,,,
showBookingFilter,Enables toggle to show/hide cancelled bookings.,,,,,,
showMeetingRoomOnApp,Enables Meeting Room booking option on mobile app.,,,,,,
mapSchedulesToBooking,Automatically maps schedules to matching bookings.,,,,,,
recurrenceBookingEnabled,Enables recurring booking feature.,,,,,,
showBookingHistory,Enables booking history on app.,,,,,,
enableBookingEmail,Enables booking details email notification.,,,,,,
autoAllocate,Enables automatic desk allocation during bulk booking upload.,,,,
enableFloorPlanAccessibility,Enables accessibility features for visually impaired users.,,,,,,
enablePerpetualDigipassForAllUsers,Allows DigiPass generation without office booking.,,,,
enableDynamicFields,Enables configurable dynamic fields per BU.,,,,,,
gatepassExpiryMinutes,Defines DigiPass expiry duration after booking start.,,,,
crossTeamAllocationEnabled,Allows cross-team desk and employee allocation.,,,,,,
workplannerCheckInDelayCutOffInMinute,Defines late check-in limit for Workplanner bookings.,,,,,,
workplannerCheckInAdvanceCutOffInMinute,Defines early check-in limit for Workplanner bookings.,,,,,,
remoteSignCutoffInMinute,Defines cutoff time for contactless bus solution sign-in.,,,,,,
CutOffTimeBetweenBookingsOnSeatInMinute,Defines minimum gap between consecutive bookings on the same seat.,,,,,,
showSeparateDigipassFor,Controls resource-level DigiPass generation.,,,,
wfhBookingAllowed,Controls WFH booking visibility in WorkInSync Teams chatbot.,,,,,,
showCanceledCountinAttendanceChart,Controls visibility of cancelled count in attendance charts.,,,,
allowRoomBookingWithOfficeBooking,Controls visibility of Room booking option on Employee Home.,,,,
enableProjectColor,Enables enhanced seat and team color legends on floor plan.,,,,,,
allowBookingWithDedicatedSeat,Controls whether dedicated seat holders can book other desks.,,,,,,
enableJoinAllWaitlist,Allows joining waitlists across all parking levels.,,,,,,
checkinReminderCutoffInMinute,Defines when check-in reminder notification is sent.,,,,,,
showParking,Controls parking field visibility in Teams chatbot.,,,,
workplannerRecurrenceMaxDays,Defines maximum recurrence window in Workplanner.,,,,
parkingScheduleCutoff,Defines advance booking window for parking.,,,,,,
showSeatSearchOnAdminPages,Enables desk search on admin floor plan pages.,,,,
enableNewAdminDashboard,Enables Admin Dashboard 2.0.,,,,,,
standardTeamColor,Defines default team legend color in floor plan.,,,,,,
officeCheckInMode,Configures office check-in mode for mobile.,,,,
officeCheckInModeWeb,Configures office check-in mode for web.,,,,,,
officeCheckInModeApp,Configures office check-in mode for mobile app.,,,,
bookingDisclaimers,Configures booking disclaimer messages.,,,,,,
floorKioskCheckinInfo,Enables real-time desk check-in display on Floor Kiosk.,,,,,,
VAX_STATUS_CHECK_SEEK_RTPCR_EMP,Allows or restricts RTPCR upload for non-fully vaccinated employees.,,,,,,
autoClockOutRemainderMinutes,Defines minutes before logout when reminder notification is triggered.,,,,
autoProvisionEnabled,Automatically marks all employees as onboarded during bulk onboarding.,,,,,,
autoTagAssignmentMapping,Automatically assigns tags based on employee designation.,,,,,,
autoPopulateBookingForm,Auto-populates booking form using preferences or past data.,,,,,,
autoSlotAllocate,Automatically allocates parking slots without manual slot selection.,,,,,,
parkingExpiry,Defines expiry time of generated parking QR.,,,,,,
officeCheckInReminderEmailCtaEnabled,Adds Check-in and Cancel CTAs in reminder emails.,,,,,,
enableColorInParkingVehicleCreation,Adds vehicle color input field in parking vehicle creation.,,,,
isBlSubblBuid,Enables N-level hierarchy/Business Line feature for BU.,,,,,,
womenSafetyDocUrl,Controls URL of Women Safety Handbook document.,,,,,,
wfhType,Controls default Work From Home booking type.,,,,,,
wfhMinBetweenClockInClockOut,Defines minimum duration between WFH clock-in and clock-out.,,,,,,
wfhClockinCutOffInMinute,Defines cutoff time for WFH clock-in.,,,,,,
welcomeEmailEnabled,Controls sending of welcome emails.,,,,,,
vehicleCreationDuringParkingEnabled,Controls vehicle creation during parking booking.,,,,,,
upcomingMeetingsEmployeeHome,Controls display of upcoming meetings on Employee Home.,,,,,,
tripRatingMandatory,Controls whether trip rating is mandatory.,,,,,,
transportFieldsMandatory,Controls whether transport fields are mandatory.,,,,,,
TIME_FORMAT_SERVICES,Defines time format for backend services.,,,,,,
TIME_FORMAT,Defines time format for UI.,,,,,,
teamManager,Defines Team Manager service URL.,,,,,,
tagsEnabled,Defines enabled booking tags.,,,,,,
showWorkinsyncLogoOnSideNav,Controls WorkInSync logo visibility on sidenav.,,,,,,
showOtherEmployeeDetailsOnSeat,Controls visibility of other employee booking details on seat view.,,,,,,
showFabQRScanner,Controls QR scanner visibility on FAB.,,,,,,
showConfigureDeskAmenities,Controls visibility of desk amenities configuration button.,,,,
securityGuard,Defines Security Guard service URL.,,,,,,
seatSanitizationCheck,Controls seat sanitization validation before booking.,,,,,,
seatBookingV2,Enables Seat Booking version 2.,,,,,,
seatBookingUrl,Defines Seat Booking service URL.,,,,,,
seatBooking,Defines primary Seat Booking application URL.,,,,
safeReachSuccessMessage,Defines success message for Safe Reach.,,,,,,
roomEmailIdEmailMessage,Defines meeting room email message templates.,,,,
roomAllocationEnabled,Enables automatic room allocation.,,,,,,
restrictMultipleVisitorBookingCheckIn,Restricts multiple visitor booking check-ins.,,,,
reportingService,Defines Reporting service URL.,,,,,,
reportingAndAnalyticUrl,Defines Reporting and Analytics dashboard URL.,,,,,,
remoteSignOutCutoffInMinute,Defines cutoff time for remote sign-out.,,,,,,
projectCodeEnabledOnBookingMandatory,Controls mandatory Project Code field.,,,,,,
projectCodeEnabledOnBooking,Controls Project Code field visibility.,,,,,,
premiseUI,Defines Premises management UI URL.,,,,,,
preferencesFloorPlanUrl,Defines Preferences floor plan URL.,,,,,,
pendingRequestsNotificationEnabled,Controls pending request notifications.,,,,,,
parkingSlotBufferTimeInMin,Defines parking allocation buffer time.,,,,,,
parkingReminderNotificationMinutes,Defines parking reminder trigger minutes.,,,,,,
parkingReminderNotificationEnabled,Controls parking reminder notifications.,,,,,,
parkingReminderEmailEnabled,Controls parking reminder emails.,,,,
parkingMailNotificationMinutes,Defines parking email trigger minutes.,,,,,,
parkingAllocationUrl,Defines Parking Allocation URL.,,,,,,
optInDisplayText,Defines commute opt-in/opt-out display text.,,,,
onBehalfBookingEmailToCreatorEnabled,Controls on-behalf booking email notification to creator.,,,,,,
officeCheckInReminderEmailEnabled,Controls office check-in reminder emails.,,,,
numberOfAllowedTrips,Defines maximum trips per user.,,,,
notificationOnDeskRelease,Controls desk release notifications.,,,,
noOfDaysAllowedInPlanner,Defines allowed planning window.,,,,
NO_SHOW_COUNT_BANNER_ENABLED,Controls no-show banner visibility.,,,,,,
multipleScanErrorMessage,Defines error message for multiple scans.,,,,,,
meetingRoomUrl,Defines Meeting Room module URL.,,,,,,
meetingRoomsWidgetEnabled,Controls Meeting Rooms widget visibility.,,,,,,
meetingRoomKioskUrl,Defines Meeting Room Kiosk URL.,,,,
meetingOptionWebViewUrl,Defines Meeting Room web view URL.,,,,,,
meetingDetailsForDateUrl,Defines Meeting Details by date URL.,,,,
listOfExcludedBuidsForCheckin,Defines BUs excluded from check-in.,,,,
listOfEligibleBuidsForAutoClockout,Defines BUs eligible for auto clock-out.,,,,,,
isTripRatingMandatory,Controls trip rating requirement.,,,,,,
isSeatBookingAssignment,Controls seat assignment feature.,,,,,,
isMasterNudgeNotifEnabled,Controls master nudge notifications.,,,,,,
isEmployeeCreationEnabledForMSu,Controls MSU employee creation feature.,,,,
isEmloyeeCreationForMsuEnabled,Controls MSU employee creation.,,,,,,
INDEMNIFICATION_REASONS,Defines available indemnification reasons.,,,,,,
includeChildHierarchy,Controls inclusion of child hierarchy levels.,,,,,,
hierarchy,Defines organizational hierarchy levels.,,,,,,
floorPlanUI,Defines Floor Plan UI URL.,,,,
floorPlan,Defines primary Floor Plan URL.,,,,
floorManagement,Defines Floor Management URL.,,,,,,
filterNoAvailableSeatInFloor,Filters floors without available seats.,,,,,,
fabDisplayNames,Defines FAB display names.,,,,,,
externalStaffUi,Defines External Staff UI URL.,,,,,,
enableVisitorManagementOnApp,Enables visitor management in app.,,,,
enableTimezoneWithOfficeName,Displays timezone with office name.,,,,,,
enableSafeReachWisList,Defines environments where Safe Reach is enabled.,,,,,,
enableSafeReachForBookingTypes,Defines booking types eligible for Safe Reach.,,,,,,
enableQRBasedSignOutButton,Enables QR-based sign-out.,,,,,,
enableQRBasedRemoteSignin,Enables QR-based remote sign-in.,,,,
enableParkingCheckOutWithOfficeCheckOut,Links parking checkout with office checkout.,,,,,,
enableOfficeCheckInWithParkingCheckIn,Links office check-in with parking check-in.,,,,,,
EnableNewEmailTemplate,Enables new email template format.,,,,,,
enabledCheckInEmailBodyParamNames,Defines parameter names in check-in email body.,,,,
enabledCheckInEmailBodyParam,Defines enabled parameters in check-in email body.,,,,
employeeFloorPlanUrl,Defines Employee Floor Plan URL.,,,,,,
empExpUi,Defines Employee Experience UI URL.,,,,
empexpUI,Defines Employee Experience interface URL.,,,,,,
empExp,Defines primary Employee Experience URL.,,,,,,
editProfileEnabled,Controls profile editing.,,,,,,
directCheckinStartCutOffInMinute,Defines start cutoff for direct check-in.,,,,,,
directCheckinExpiryInMinute,Defines expiry time for direct check-in.,,,,,,
directCheckinEndCutOffInMinute,Defines end cutoff for direct check-in.,,,,,,
DATE_FORMAT_SERVICES,Defines date format for backend services.,,,,
DATE_FORMAT,Defines date format for UI.,,,,,,
createSeatBookingWithOfficeBooking,Auto-creates seat booking with office booking.,,,,,,
consentPopupData,Defines consent popup configuration.,,,,,,
checkInWithoutAarogyasetuValidation,Allows check-in without Aarogya Setu validation.,,,,,,
checkInBookingsType,Defines booking types eligible for check-in.,,,,,,
captureEmployeeBookingStats,Enables booking statistics capture.,,,,,,
cancelTransportBooking,Allows transport booking cancellation.,,,,,,
CANCELLATION_REMINDER_NOTIFICATION,Enables cancellation reminder notifications.,,,,
cacheTimeInHoursOfAarogyaSetuUserStatus,Defines Aarogya Setu status cache duration.,,,,,,
bulkScheduleAllowedDaysForRoom,Defines bulk room scheduling window.,,,,,,
bookingsTypesForCheckinReminder,Defines booking types eligible for check-in reminder.,,,,,,
bookingRuleEngine,Defines Booking Rule Engine URL.,,,,,,
bookingRequestApprovalFlowEnabled,Enables booking approval workflow.,,,,,,
bookingEnabledOnTag,Enables booking based on tags.,,,,,,
bookingCreationMessage,Defines booking success message.,,,,
bookingCancellationReasons,Defines cancellation reason list.,,,,
blockOfficeCheckingIfNoBooking,Blocks office check-in without booking.,,,,,,
blockNumber,Controls Block number field visibility.,,,,,,
blockGenerateDigiPassOnSeatMandatory,Blocks DigiPass generation when seat is mandatory.,,,,,,
blockDelegationEmail,Blocks delegation email notifications.,,,,,,
bannerNativeRoomEmail,Controls native banner visibility in room emails.,,,,,,
autoSeatCheckOutMinutes,Defines auto seat checkout duration.,,,,
autoSeatCheckOutEnabled,Enables auto seat checkout.,,,,,,
approvalWebViewUrl,Defines approval web view URL.,,,,
approvalFlowInWfoEnabled,Enables approval workflow for WFO.,,,,,,
approvalFlowInInWfhEnabled,Enables approval workflow for WFH.,,,,,,
allowQrCheckInWithoutSeat,Allows QR check-in without seat.,,,,,,
allowCheckInAtIncorrectSlot,Allows check-in outside booked slot.,,,,,,
allowBookingForOthers,Defines booking types allowed for others.,,,,,,
adminFloorPlanUrl,Defines Admin Floor Plan URL.,,,,
adminexpUI,Defines Admin Experience UI URL.,,,,,,
adminexpUi,Defines alternate Admin UI URL.,,,,
adminAssignmentFloorPlanUrl,Defines Admin Seat Allocation Floor Plan URL.,,,,,,
ACCESS_MATRIX_ENABLED_BUIDS,Defines BUs with access matrix enabled.,,,,,,
removeFloorsMappedToRooms,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
