floorKioskConfigs,Defines Floor Kiosk configurations in Settings.,,,,,,
checkoutOnFDEmployee,Shows checkout CTA for employee flow on Front Desk.,,,,,,
visitorKioskConfigs,Handles UI formatting for VMS self check-in flow.,,,,,,
formsMetaDataForHostPWC,Handles host-side custom fields and belongings in invited flow (PWC).,,,,,,
emailListToAdmin,Defines email list for admin notes.,,,,,,
emailListToReceptionist,Defines email list for receptionist/security notes.,,,,,,
formsMetaDataForWalkIn,Handles custom fields and belongings for Walk-in flow.,,,,,,
formsMetaDataForVisitorPWC,Handles visitor-side custom fields and belongings in invited flow (PWC).,,,,,,
visitorFormsMetaDataPWC,Handles profile and custom fields in VMS self check-in flow (PWC).,,,,,,
profileFieldsMetaData,Handles profile fields configuration for invited flow.,,,,,,
inviteFormDefaultOfficeSelection,Defines default office selection in Invite Visitor form.,,,,,,
vmsInviteTrigger,Triggers visitor invite based on configured list.,,,,,,
blacklistKioskPopup,Defines heading and subheading for blacklist popup on kiosk.,,,,,,
employeeCheckoutPrompt,Defines confirmation modal checklist for employee checkout.,,,,,,
overStayAlertMsTeamsTemplate,Defines MS Teams template for overstay alerts.,,,,,,
enableSignatureForConsentSafeReach,Requires signature-based consent in Safe Reach form.,,,,,,
floorKioskAllowOfficeCheckin,New property for controlling office check-in via Floor Kiosk.,,,,,,
identification,Allows enablement of identifcation on front desk,,,,,,
enableWalkInEmail,Not in use.,,,,,,
externalEmailIdsToTriggerOnVisitorCheckin,Not in use.,,,,,,
visitorSelfCheckOutDigiPass,Not in use.,,,,,,
NDA,Not in use.,,,,,,
entryApprovalFromFrontdesk,Not in use.,,,,,,
walkInEnabled,Not in use.,,,,,,
DynamicFields,Not in use.,,,,,,
visitorFormsMetaData,Not in use.,,,,,,
externalEmailIdsMapToTriggerOnVisitorCheckin,Not in use.,,,,,,
otpApprovalFlow,Not in use.,,,,,,
VISITOR_DIGIPASS,Not in use.,,,,,,
showBelongings,Not in use.,,,,,,
enableDynamicFields,Not in use.,,,,,,
cancelInviteNotifications,Notifies host when invite is canceled from Front Desk.,,,,,,
defaultInviteTitle,Defines default title for Invite Form.,,,,,,
safeReachConsentContent,Defines consent statement with checkbox in Safe Reach kiosk form.,,,,,,
enableBlacklistVisitorProfiles,Enables visitor blacklist feature.,,,,,,
notificationConfigs,Defines notification page configuration values.,,,,,,
frontDeskColumns,Controls column dropdown configuration on Front Desk.,,,,,,
enableNoninteractiveVisitorInvite,Enables non-interactive email notifications.,,,,,,
kioskRequireOTPBeforeRegister,Enables OTP validation before kiosk employee registration.,,,,,,
BULK_OPERATION_VISITOR_BOOKING,Enables visitor bulk operation.,,,,,,
visitorNotifications,Controls visitor notifications.,,,,,,
employeeFaceOnboardingForRecognition,Onboards employee photos into face recognition service.,,,,,,
digipassAutoSend,Automatically sends DigiPass.,,,,,,
FDReportColumnsVisitor,Defines configurable columns for Visitor Front Desk report.,,,,,,
FDReportColumnsEmployee,Defines configurable columns for Employee Front Desk report.,,,,,,
SafeReachInputFields,Defines customizable fields in Safe Reach form.,,,,,,
GUEST_BULK_UPLOAD,Enables bulk upload option for visitors.,,,,,,
visitor_wifi_name,Stores client Wi-Fi name.,,,,,,
approveMsTeamsTemplate,Defines MS Teams template for approval notifications.,,,,,,
employeeCheckinMsTeamsTemplateAdmin,Defines MS Teams template for admin employee check-in notifications.,,,,,,
employeeCheckinMsTeamsTemplateCreator,Defines MS Teams template for employee self check-in notifications.,,,,,,
KioskSafeReachInterval,Defines Safe Reach interval (in minutes) for VMS kiosk.,,,,,,
triggerExternalEmails,Triggers emails to designated roles such as Global Admin.,,,,,,
sendVisitorInviteEmail,DTO key for sending visitor invite emails.,,,,,,
Visitor_Document_Storage_Document_Type,Defines document types applicable for visitor data storage.,,,,,,
Visitor_Document_Storage_Duration,Defines retention period (in days) for visitor data storage.,,,,,,
visitorProfilePhotoUpload,Controls whether profile photo is mandatory in invited flow.,,,,,,
kioskEmployeeRegistrationFields,Controls fields displayed in kiosk employee self-registration form.,,,,,,
visitorCheckinMsTeamsBodyTemplate,Defines body template for MS Teams visitor check-in notification.,,,,,,
visitorCheckinMsTeamsHeaderTemplate,Defines salutation header for MS Teams visitor check-in notification.,,,,,,
addCustomFieldsForBulkUpload,Determines whether custom fields are included in bulk upload header.,,,,,,
front_desk_configurations,Defines core functionalities visible on Front Desk.,,,,,,
enableOtpOverride,Enables OTP override flow on VMS kiosk.,,,,,,
overStayAlertRecipients,Defines recipient list for overstay alerts.,,,,,,
approveEntryFromFrontdesk,Allows visitor approval or rejection from Front Desk.,,,,,,
autofillCustomFields,Auto-populates custom fields for returning visitors.,,,,,,
externalEmployeeList,Stores external stakeholder email and name details.,,,,,,
digipass,Controls DigiPass visibility across email and badge channels.,,,,,,
controlSearchSections,Controls visibility of sections in Front Desk search dropdown.,,,,,,
overstayTriggerList,Defines channels (MS Teams/Email) for overstay alerts.,,,,,,
showDelegateeBookForSomeoneElse,Displays delegatees in host search for booking on behalf.,,,,,,
enableSelfRegistrationOnKiosk,Enables employee self-registration on kiosk.,,,,,,
showDefaultInviteTitle,Enables default invite title on Invite Visitor page.,,,,,,
isEmployeeFlowEnabled,Enables employee check-in flow on kiosk.,,,,,,
enableOTPValidationSelfCheckin,Enables OTP validation on kiosk.,,,,,,
enabledBuidForVisitorConfigs,Enables visitor notification page.,,,,,,
DefaultEndTimeOfEmployeeBooking,Defines default end time for employee booking.,,,,,,
notificationMetaData,Defines metadata configuration for notification page.,,,,,,
triggerListForLandlords,Defines external stakeholder email trigger list.,,,,,,
SafeReachVmsTimeInMin,Defines Safe Reach trigger time in minutes.,,,,,,
triggerVisitorEmailsFromRooms,Controls visitor email triggers in Meeting Rooms workflow.,,,,,,
isVisitorCheckinMsTeamsNotificationEnabled,Enables visitor check-in notifications via email and MS Teams.,,,,,,
visitorCheckinMsTeamsTemplate,Defines visitor check-in email template.,,,,,,
enableCalendarInvite,Creates calendar event in host email upon invite creation.,,,,,,
Visitor_Document_Storage,Enables visitor document storage configuration.,,,,,,
<p>Iagreethatalldetailssharedbymearecorrect</p>,-,,,,,,
qrCheckInBufferTime,Defines buffer time (in minutes) before booking start when QR check-in is allowed.,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
